DATE,PM2.5,PM10,NO2,SO2,CO,Ozone,AQI_PM2.5,AQI_PM10,AQI_NO2,AQI_SO2,AQI_CO,AQI_O3,OVERALL_AQI,CATEGORY,DOMINAN_ POLLUTANT
1/1/2024,42,88,18,8,0.62,34,69.59,88,22.5,10,31,34,88,Satisfactory,PM10
1/2/2024,45,96,18,7,0.66,35,74.66,96,22.5,8.75,33,35,96,Satisfactory,PM10
1/3/2024,44,96,18,8,0.62,37,72.97,96,22.5,10,31,37,96,Satisfactory,PM10
1/4/2024,48,110,18,8,0.67,34,79.72,106.98,22.5,10,33.5,34,106.98,Moderate,PM10
1/5/2024,38,87,18,8,0.69,31,62.83,87,22.5,10,34.5,31,87,Satisfactory,PM10
1/6/2024,33,83,19,7,0.66,29,54.38,83,23.75,8.75,33,29,83,Satisfactory,PM10
1/7/2024,28,66,18,7,0.62,27,46.67,66,22.5,8.75,31,27,66,Satisfactory,PM10
1/8/2024,22,53,17,7,0.64,23,36.67,53,21.25,8.75,32,23,53,Satisfactory,PM10
1/9/2024,84,74,17,7,0.61,24,179.52,74,21.25,8.75,30.5,24,179.52,Moderate,PM2.5
1/10/2024,86,87,17,8,0.62,28,186.34,87,21.25,10,31,28,186.34,Moderate,PM2.5
1/11/2024,39,92,17,8,0.67,31,64.52,92,21.25,10,33.5,31,92,Satisfactory,PM10
1/12/2024,44,93,17,8,0.6,32,72.97,93,21.25,10,30,32,93,Satisfactory,PM10
1/13/2024,54,112,18,8,0.69,33,89.86,108.31,22.5,10,34.5,33,108.31,Moderate,PM10
1/14/2024,62,130,18,9,0.78,32,104.41,120.27,22.5,11.25,39,32,120.27,Moderate,PM10
1/15/2024,56,129,18,9,0.72,37,93.24,119.6,22.5,11.25,36,37,119.6,Moderate,PM10
1/16/2024,55,152,18,8,0.71,41,91.55,134.89,22.5,10,35.5,41,134.89,Moderate,PM10
1/17/2024,52,117,17,8,0.75,38,86.48,111.63,21.25,10,37.5,38,111.63,Moderate,PM10
1/18/2024,49,110,17,9,0.69,34,81.41,106.98,21.25,11.25,34.5,34,106.98,Moderate,PM10
1/19/2024,38,90,17,9,0.73,30,62.83,90,21.25,11.25,36.5,30,90,Satisfactory,PM10
1/20/2024,41,97,17,9,0.7,36,67.9,97,21.25,11.25,35,36,97,Satisfactory,PM10
1/21/2024,43,102,18,8,0.79,36,71.28,101.66,22.5,10,39.5,36,101.66,Moderate,PM10
1/22/2024,37,102,19,8,0.72,31,61.14,101.66,23.75,10,36,31,101.66,Moderate,PM10
1/23/2024,42,111,19,8,0.65,29,69.59,107.64,23.75,10,32.5,29,107.64,Moderate,PM10
1/24/2024,48,104,19,8,0.63,29,79.72,102.99,23.75,10,31.5,29,102.99,Moderate,PM10
1/25/2024,51,107,19,8,0.65,31,84.79,104.99,23.75,10,32.5,31,104.99,Moderate,PM10
1/26/2024,32,73,20,7,0.74,30,52.69,73,25,8.75,37,30,73,Satisfactory,PM10
1/27/2024,31,75,19,9,0.82,28,51,75,23.75,11.25,41,28,75,Satisfactory,PM10
1/28/2024,33,73,18,8,0.76,30,54.38,73,22.5,10,38,30,73,Satisfactory,PM10
1/29/2024,38,87,19,8,0.76,31,62.83,87,23.75,10,38,31,87,Satisfactory,PM10
1/30/2024,56,133,20,8,0.85,31,93.24,122.26,25,10,42.5,31,122.26,Moderate,PM10
1/31/2024,60,132,18,8,0.82,31,100,121.6,22.5,10,41,31,121.6,Moderate,PM10
2/1/2024,44,104,17,7,0.77,31,72.97,102.99,21.25,8.75,38.5,31,102.99,Moderate,PM10
2/2/2024,47,111,17,7,0.76,32,78.03,107.64,21.25,8.75,38,32,107.64,Moderate,PM10
2/3/2024,49,97,18,8,0.74,32,81.41,97,22.5,10,37,32,97,Satisfactory,PM10
2/4/2024,40,92,17,8,0.67,36,66.21,92,21.25,10,33.5,36,92,Satisfactory,PM10
2/5/2024,38,87,17,8,0.71,32,62.83,87,21.25,10,35.5,32,87,Satisfactory,PM10
2/6/2024,44,98,18,8,0.68,28,72.97,98,22.5,10,34,28,98,Satisfactory,PM10
2/7/2024,54,102,20,8,0.75,34,89.86,101.66,25,10,37.5,34,101.66,Moderate,PM10
2/8/2024,51,96,19,9,0.76,33,84.79,96,23.75,11.25,38,33,96,Satisfactory,PM10
2/9/2024,48,87,17,8,0.68,30,79.72,87,21.25,10,34,30,87,Satisfactory,PM10
2/10/2024,44,88,18,8,0.66,32,72.97,88,22.5,10,33,32,88,Satisfactory,PM10
2/11/2024,43,89,17,8,0.64,32,71.28,89,21.25,10,32,32,89,Satisfactory,PM10
2/12/2024,91,89,17,8,0.64,32,201,89,21.25,10,32,32,201,Poor,PM2.5
2/13/2024,38,69,18,8,0.66,31,62.83,69,22.5,10,33,31,69,Satisfactory,PM10
2/14/2024,35,71,17,9,0.64,29,57.76,71,21.25,11.25,32,29,71,Satisfactory,PM10
2/15/2024,37,75,18,9,0.69,33,61.14,75,22.5,11.25,34.5,33,75,Satisfactory,PM10
2/16/2024,38,74,18,9,0.69,33,62.83,74,22.5,11.25,34.5,33,74,Satisfactory,PM10
2/17/2024,38,76,17,9,0.66,33,62.83,76,21.25,11.25,33,33,76,Satisfactory,PM10
2/18/2024,41,83,17,9,0.68,36,67.9,83,21.25,11.25,34,36,83,Satisfactory,PM10
2/19/2024,38,75,16,8,0.69,35,62.83,75,20,10,34.5,35,75,Satisfactory,PM10
2/20/2024,45,92,18,9,0.72,34,74.66,92,22.5,11.25,36,34,92,Satisfactory,PM10
2/21/2024,48,111,19,9,0.72,37,79.72,107.64,23.75,11.25,36,37,107.64,Moderate,PM10
2/22/2024,51,109,22,8,0.73,38,84.79,106.32,27.5,10,36.5,38,106.32,Moderate,PM10
2/23/2024,45,107,21,8,0.76,36,74.66,104.99,26.25,10,38,36,104.99,Moderate,PM10
2/24/2024,46,95,22,8,0.74,36,76.34,95,27.5,10,37,36,95,Satisfactory,PM10
2/25/2024,55,83,22,9,0.71,40,91.55,83,27.5,11.25,35.5,40,91.55,Satisfactory,PM2.5
2/26/2024,28,70,21,9,0.64,29,46.67,70,26.25,11.25,32,29,70,Satisfactory,PM10
2/27/2024,32,74,20,9,0.66,31,52.69,74,25,11.25,33,31,74,Satisfactory,PM10
2/28/2024,31,71,20,9,0.68,32,51,71,25,11.25,34,32,71,Satisfactory,PM10
2/29/2024,34,76,20,9,0.67,36,56.07,76,25,11.25,33.5,36,76,Satisfactory,PM10
3/1/2024,32,74,26,9,0.69,37,52.69,74,32.5,11.25,34.5,37,74,Satisfactory,PM10
3/2/2024,43,84,24,9,0.68,39,71.28,84,30,11.25,34,39,84,Satisfactory,PM10
3/3/2024,56,120,24,11,0.77,44,93.24,113.62,30,13.75,38.5,44,113.62,Moderate,PM10
3/4/2024,51,110,24,9,0.75,41,84.79,106.98,30,11.25,37.5,41,106.98,Moderate,PM10
3/5/2024,47,101,23,9,0.7,39,78.03,101,28.75,11.25,35,39,101,Moderate,PM10
3/6/2024,49,104,22,10,0.74,40,81.41,102.99,27.5,12.5,37,40,102.99,Moderate,PM10
